Item Number,Brand,Processor,Screen Size (in),Color,Ram Size (GB),SSD Capacity (GB),GPU,Processor Speed (GHz),Type,Resolution Size,Maximum Resolution,Model,OS,Hard Drive Capacity (GB),Storage Type,Condition,Price ($)
85264983995,Dell,Intel Core i5,13.3,Black,16.0,256.0,Intel Iris Xe Graphics,2.6,Notebook,Medium,1920 x 1080,Latitude 13 7330 Rugged Extreme,Windows 11 Pro,256,SSD,Excellent,1449.99
85264983999,HP,Intel Core i3,15.6,Silver,8.0,256.0,Intel UHD Graphics,1.2,Notebook/Laptop,Medium,1920 x 1080,15-dy5131wm,Windows 11 Home,256,SSD,New,329.95
85264984006,Dell,Intel Core i3,13.3,Black,8.0,128.0,Intel UHD Graphics,2.2,2 in 1 Laptop/Tablet,Medium,1920 x 1080,Latitude 3390,Windows 11 Pro,128,SSD,Used,141.0
85264984007,Dell,Intel Core i7,15.6,Silver,32.0,512.0,NVIDIA Quadro T2000,2.7,Notebook/Laptop,Large,3840 x 2400,Dell Precision 5550,Windows 10 Pro,512,SSD,New,959.99
85264984019,Lenovo,Intel Core i5,15.6,Black,32.0,512.0,Intel UHD Graphics 620,2.6,Notebook/Laptop,Medium,1920 x 1080,Lenovo Thinkpad T580,Windows 11 Pro,512,SSD,Very Good,369.99
85264984034,HP,Intel Core i7,14.0,Silver,8.0,256.0,Intel HD Graphics,2.6,Notebook/Laptop,Medium,1920 x 1080,Elitebook 840 G3,Windows 11 Pro,256,SSD,Used,199.0
85264984043,Microsoft,Intel Core i5,13.5,Silver,8.0,256.0,Intel HD Graphics,1.5,Notebook/Laptop,Large,2256 x 1504,Microsoft Surface Laptop 3,Windows 10 Pro,256,SSD,Used,259.84
85264984048,Dell,Intel Core i7,15.6,Black,32.0,512.0,Intel HD Graphics 630,2.9,Notebook/Laptop,Medium,1920 x 1080,5580,Windows 11 Pro,512,SSD,Used,289.99
85264984052,HP,Intel Core i7,16.0,Black,8.0,256.0,Intel HD Graphics 4600,2.7,Notebook/Laptop,Medium,1920 x 1080,HP ProBook,Windows 10 Pro,256,SSD,Used,249.99
85264984066,Lenovo,Intel Celeron,11.6,Black,4.0,32.0,Intel HD Graphics,2.6,Notebook/Laptop,Small,1366 x 768,Lenovo 100e,Chrome OS,32,SSD,Used,55.0
85264984072,Lenovo,Intel Core i5,15.6,Black,8.0,256.0,Intel HD Graphics,1.6,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad E15,Not Included,256,SSD,Used,204.0
85264984085,HP,Intel Core i5,14.0,Silver,16.0,256.0,Intel HD Graphics 520,2.4,Notebook/Laptop,Small,1366 x 768,HP 840 G3,Windows 10 Pro,256,SSD,Very Good,179.99
85264984089,Lenovo,Intel Core i5,14.0,Black,16.0,256.0,Intel UHD Graphics 620,1.6,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad T490S,Windows 11 Pro,256,SSD,Used,199.0
85264984097,Lenovo,Intel Core i5,14.0,Black,16.0,500.0,Intel UHD Graphics,1.7,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad T480s,Windows 11 Pro,500,SSD,Excellent,279.99
85264984098,Dell,Intel Core i5,15.6,Black,8.0,256.0,NVIDIA GeForce GTX 1050 Ti,2.5,Notebook/Laptop,Medium,1920 x 1080,Dell Inspiron 15 7000,Windows 10 Home,0,SSD,Used,199.99
